WeekEndingDate,HBT,Attendances,Within4Hours,Over4Hours,Over8Hours,Over12Hours,BreachRate,Within4HoursPct,BreachedTarget,BoardName
2015-03-15,S08000032,3533,3204,329,29,0,0.09312199264081517,0.9068780073591848,1,Lanarkshire
2015-03-22,S08000015,2292,2030,262,23,3,0.1143106457242583,0.8856893542757417,1,Ayrshire & Arran
2015-03-22,S08000016,540,497,43,4,0,0.07962962962962963,0.9203703703703704,1,Borders
2015-03-22,S08000017,898,859,39,0,0,0.043429844097995544,0.9565701559020044,0,Dumfries & Galloway
2015-03-22,S08000019,1144,1097,47,0,0,0.04108391608391608,0.958916083916084,0,Forth Valley
2015-03-22,S08000020,1924,1770,154,11,0,0.08004158004158005,0.91995841995842,1,Grampian
2015-03-22,S08000022,1045,987,58,1,0,0.05550239234449761,0.9444976076555024,1,Highland
2015-03-22,S08000024,4149,3867,282,49,3,0.06796818510484454,0.9320318148951554,1,Lothian
2015-03-22,S08000025,93,93,0,0,0,0.0,1.0,0,Orkney
2015-03-22,S08000026,138,137,1,0,0,0.007246376811594203,0.9927536231884058,0,Shetland
2015-03-22,S08000028,116,114,2,0,0,0.017241379310344827,0.9827586206896551,0,Western Isles
2015-03-22,S08000029,1218,1108,110,16,0,0.090311986863711,0.909688013136289,1,Fife
2015-03-22,S08000030,1425,1416,9,0,0,0.00631578947368421,0.9936842105263158,0,Tayside
2015-03-22,S08000031,7696,6751,945,77,0,0.1227910602910603,0.8772089397089398,1,Greater Glasgow & Clyde
2015-03-22,S08000032,3569,3375,194,14,2,0.05435696273465957,0.9456430372653404,1,Lanarkshire
2015-03-29,S08000015,2323,1977,346,48,1,0.14894532931554025,0.8510546706844597,1,Ayrshire & Arran
2015-03-29,S08000016,548,500,48,2,0,0.08759124087591241,0.9124087591240876,1,Borders
2015-03-29,S08000017,918,896,22,1,0,0.023965141612200435,0.9760348583877996,0,Dumfries & Galloway
2015-03-29,S08000019,1146,1083,63,1,0,0.0549738219895288,0.9450261780104712,1,Forth Valley
2015-03-29,S08000020,1944,1845,99,5,0,0.05092592592592592,0.9490740740740741,1,Grampian
2015-03-29,S08000022,1032,987,45,2,0,0.0436046511627907,0.9563953488372093,0,Highland
2015-03-29,S08000024,4295,4016,279,31,2,0.06495925494761351,0.9350407450523865,1,Lothian
2015-03-29,S08000025,72,71,1,0,0,0.013888888888888888,0.9861111111111112,0,Orkney
2015-03-29,S08000026,159,154,5,0,0,0.031446540880503145,0.9685534591194969,0,Shetland
2015-03-29,S08000028,105,104,1,0,0,0.009523809523809525,0.9904761904761905,0,Western Isles
2015-03-29,S08000029,1200,1087,113,21,8,0.09416666666666666,0.9058333333333334,1,Fife
2015-03-29,S08000030,1368,1360,8,0,0,0.005847953216374269,0.9941520467836257,0,Tayside
2015-03-29,S08000031,7630,6714,916,48,1,0.1200524246395806,0.8799475753604193,1,Greater Glasgow & Clyde
2015-03-29,S08000032,3683,3345,338,56,10,0.09177301113222916,0.9082269888677709,1,Lanarkshire
2015-04-05,S08000015,2257,2041,216,24,1,0.09570225963668587,0.9042977403633141,1,Ayrshire & Arran
2015-04-05,S08000016,539,520,19,0,0,0.03525046382189239,0.9647495361781077,0,Borders
2015-04-05,S08000017,906,867,39,3,0,0.04304635761589404,0.956953642384106,0,Dumfries & Galloway
2015-04-05,S08000019,1229,1127,102,0,0,0.08299430431244914,0.9170056956875509,1,Forth Valley
2015-04-05,S08000020,1912,1754,158,8,0,0.08263598326359832,0.9173640167364017,1,Grampian
2015-04-05,S08000022,1132,1092,40,0,0,0.0353356890459364,0.9646643109540636,0,Highland
2015-04-05,S08000024,4231,3845,386,73,0,0.09123138737887024,0.9087686126211297,1,Lothian
2015-04-05,S08000025,84,82,2,0,0,0.023809523809523808,0.9761904761904762,0,Orkney
2015-04-05,S08000026,136,135,1,0,0,0.007352941176470588,0.9926470588235294,0,Shetland
2015-04-05,S08000028,119,115,4,2,0,0.03361344537815126,0.9663865546218487,0,Western Isles
2015-04-05,S08000029,1286,1176,110,7,0,0.08553654743390357,0.9144634525660964,1,Fife
2015-04-05,S08000030,1394,1366,28,0,0,0.020086083213773313,0.9799139167862266,0,Tayside
2015-04-05,S08000031,7527,6555,972,46,0,0.12913511359107213,0.8708648864089279,1,Greater Glasgow & Clyde
2015-04-05,S08000032,3538,3144,394,76,9,0.11136235161107971,0.8886376483889203,1,Lanarkshire
2015-04-12,S08000015,2265,2040,225,50,7,0.09933774834437085,0.9006622516556292,1,Ayrshire & Arran
2015-04-12,S08000016,558,526,32,2,0,0.05734767025089606,0.942652329749104,1,Borders
2015-04-12,S08000017,914,889,25,1,0,0.02735229759299781,0.9726477024070022,0,Dumfries & Galloway
2015-04-12,S08000019,1232,1132,100,1,0,0.08116883116883117,0.9188311688311688,1,Forth Valley
2015-04-12,S08000020,1895,1786,109,9,1,0.057519788918205805,0.9424802110817943,1,Grampian
2015-04-12,S08000022,1059,1042,17,2,0,0.016052880075542966,0.983947119924457,0,Highland
2015-04-12,S08000024,4271,3955,316,27,2,0.0739873565909623,0.9260126434090377,1,Lothian
2015-04-12,S08000025,89,88,1,0,0,0.011235955056179775,0.9887640449438202,0,Orkney
2015-04-12,S08000026,130,125,5,0,0,0.038461538461538464,0.9615384615384616,0,Shetland
2015-04-12,S08000028,158,156,2,0,0,0.012658227848101266,0.9873417721518988,0,Western Isles
2015-04-12,S08000029,1261,1113,148,33,12,0.11736716891356067,0.8826328310864393,1,Fife
2015-04-12,S08000030,1408,1386,22,0,0,0.015625,0.984375,0,Tayside
2015-04-12,S08000031,7649,6828,821,47,1,0.10733429206432213,0.8926657079356779,1,Greater Glasgow & Clyde
2015-04-12,S08000032,3642,3212,430,30,7,0.11806699615595827,0.8819330038440417,1,Lanarkshire
2015-04-19,S08000015,2128,1850,278,21,3,0.13063909774436092,0.8693609022556391,1,Ayrshire & Arran
2015-04-19,S08000016,555,529,26,0,0,0.04684684684684685,0.9531531531531532,0,Borders
