WeekEndingDate,HBT,Attendances,Within4Hours,Over4Hours,Over8Hours,Over12Hours,BreachRate,Within4HoursPct,BreachedTarget,BoardName,WeekOfYear,Month,Year,FluSeasonFlag,WinterFlag,ChristmasWeek,CovidPhase,CovidEra,PostCovidStress,VaxRollout,Lag1_BreachRate,Lag2_BreachRate,Lag4_BreachRate,Lag8_BreachRate,Lag1_Attendances,Lag4_Attendances,RollingMean4W,RollingMean8W,RollingStd4W,RollingMax4W,BreachRateDelta,SIMDScore,IsUrban,PopulationK,AttendancesPer1000,FluSearchIndex,IsSchoolHoliday,DaysToNextHoliday,DaysSinceHoliday,TotalClinicalWTE,StaffingRatioPer1000,StaffingPressureFlag
2015-10-11,S08000015,2239,2004,235,35,10,0.1049575703439035,0.8950424296560965,1,Ayrshire & Arran,41,10,2015,1,0,0,0,0,0,0,0.1101190476190476,0.0780553077609277,0.064366848969289,0.0526546731022378,2352.0,2377.0,0.0886020218665368,0.0723417068007835,0.0211148898884974,0.1101190476190476,0.0503863826232248,37.2,0,369,6.067750677506775,25.25,0,1,55,6050.620141304384,2702.376123851891,0
2015-10-18,S08000015,2252,2110,142,20,1,0.0630550621669627,0.9369449378330372,1,Ayrshire & Arran,42,10,2015,1,0,0,0,0,0,0,0.1049575703439035,0.1101190476190476,0.1018668831168831,0.0373298199385155,2239.0,2464.0,0.0987497022101904,0.0788795689559917,0.0142100248676559,0.1101190476190476,0.0405907213746145,37.2,0,369,6.102981029810298,25.25,1,1,1,6051.288413043514,2687.073007568168,1
2015-10-25,S08000015,2233,2006,227,10,0,0.1016569637259292,0.8983430362740707,1,Ayrshire & Arran,43,10,2015,1,0,0,0,0,0,0,0.0630550621669627,0.1049575703439035,0.0780553077609277,0.0746084089035449,2252.0,2242.0,0.0890467469727103,0.0820952242345476,0.0223127435177492,0.1101190476190476,-0.0388118209499204,37.2,0,369,6.051490514905149,25.25,1,59,2,6051.956684782645,2710.235864210768,0
2015-11-01,S08000015,2252,1971,281,23,8,0.1247779751332149,0.8752220248667851,1,Ayrshire & Arran,44,11,2015,1,0,0,0,0,0,0,0.1016569637259292,0.0630550621669627,0.1101190476190476,0.0597326649958228,2233.0,2352.0,0.0949471609639607,0.0854762935873457,0.0215446966359926,0.1101190476190476,0.0236016559650014,37.2,0,369,6.102981029810298,26.25,0,52,9,6052.624956521776,2687.666499343595,1
2015-11-08,S08000015,2268,2045,223,26,8,0.0983245149911816,0.9016754850088184,1,Ayrshire & Arran,45,11,2015,1,0,0,0,0,0,0,0.1247779751332149,0.1016569637259292,0.1049575703439035,0.064366848969289,2252.0,2239.0,0.0986118928425025,0.0936069573545197,0.0258101540081303,0.1247779751332149,0.0146589275141672,37.2,0,369,6.146341463414634,26.25,0,45,16,6053.293228260907,2669.000541561247,1
2015-11-15,S08000015,2214,1916,298,53,22,0.1345980126467931,0.8654019873532068,1,Ayrshire & Arran,46,11,2015,1,0,0,0,0,0,0,0.0983245149911816,0.1247779751332149,0.0630550621669627,0.1018668831168831,2268.0,2252.0,0.0969536290043221,0.0978516656072562,0.0254774917461132,0.1247779751332149,-0.0066330553527219,37.2,0,369,6.0,26.25,0,38,23,6053.961500000038,2734.399954832899,0
2015-11-22,S08000015,2164,1967,197,24,0,0.0910351201478743,0.9089648798521256,1,Ayrshire & Arran,47,11,2015,1,0,0,0,0,0,0,0.1345980126467931,0.0983245149911816,0.1016569637259292,0.0780553077609277,2214.0,2233.0,0.1148393666242797,0.101943056798495,0.017660654030684,0.1345980126467931,0.0715429504798304,37.2,0,369,5.86449864498645,26.25,0,31,30,6054.629771739168,2797.8880645744766,0
2015-11-29,S08000015,2145,2091,54,2,0,0.0251748251748251,0.9748251748251748,0,Ayrshire & Arran,48,11,2015,1,0,0,0,0,0,0,0.0910351201478743,0.1345980126467931,0.1247779751332149,0.1101190476190476,2164.0,2252.0,0.1121839057297659,0.1035655333468633,0.0208195150140471,0.1345980126467931,-0.0106218435780549,37.2,0,369,5.813008130081301,26.25,0,24,37,6055.298043478299,2822.982770852354,0
2015-12-06,S08000015,2096,2075,21,0,0,0.0100190839694656,0.9899809160305344,0,Ayrshire & Arran,49,12,2015,1,1,0,0,0,0,0,0.0251748251748251,0.0910351201478743,0.0983245149911816,0.1049575703439035,2145.0,2268.0,0.0872831182401685,0.0929475055413355,0.0455782450325055,0.1345980126467931,-0.0996031499583898,37.2,0,369,5.6802168021680215,30.75,0,17,44,6055.96631521743,2889.2969061151857,0
2015-12-13,S08000015,2243,2187,56,8,0,0.0249665626393223,0.9750334373606776,0,Ayrshire & Arran,50,12,2015,1,1,0,0,0,0,0,0.0100190839694656,0.0251748251748251,0.1345980126467931,0.0630550621669627,2096.0,2214.0,0.0652067604847395,0.0810801947445308,0.0581104853513765,0.1345980126467931,-0.088305431021716,37.2,0,369,6.078590785907859,30.75,0,10,51,6056.634586956561,2700.238335691735,0
2015-12-20,S08000015,2308,2224,84,4,0,0.0363951473136915,0.9636048526863084,0,Ayrshire & Arran,51,12,2015,1,1,1,0,0,0,0,0.0249665626393223,0.0100190839694656,0.0910351201478743,0.1016569637259292,2243.0,2164.0,0.0377988979828718,0.0763191323035757,0.0361932289323714,0.0910351201478743,-0.1096314500074708,37.2,0,369,6.254742547425474,30.75,0,3,58,6057.302858695692,2624.481307927076,1
2015-12-27,S08000015,2064,2008,56,2,0,0.0271317829457364,0.9728682170542636,0,Ayrshire & Arran,52,12,2015,1,1,1,0,0,0,0,0.0363951473136915,0.0249665626393223,0.0251748251748251,0.1247779751332149,2308.0,2145.0,0.0241389047743261,0.068161405252046,0.0108219371242369,0.0363951473136915,-0.0546399728341827,37.2,0,369,5.59349593495935,30.75,1,1,1,6057.971130434822,2935.063532187414,0
2016-01-03,S08000015,2248,2114,134,16,6,0.0596085409252669,0.9403914590747332,1,Ayrshire & Arran,53,1,2016,1,1,0,0,0,0,0,0.0271317829457364,0.0363951473136915,0.0100190839694656,0.0983245149911816,2064.0,2096.0,0.0246281442170539,0.0559556312286112,0.0109280943307645,0.0363951473136915,0.0019569577709112,37.2,0,369,6.092140921409214,33.75,1,1,1,6059.156835164876,2695.3544640413147,0
2016-01-10,S08000015,2116,1794,322,87,26,0.1521739130434782,0.8478260869565217,1,Ayrshire & Arran,1,1,2016,1,1,1,0,0,0,0,0.0596085409252669,0.0271317829457364,0.0249665626393223,0.1345980126467931,2248.0,2243.0,0.0370255084560042,0.0511161344703719,0.0158502859002577,0.0596085409252669,0.0495894569558013,37.2,0,369,5.734417344173441,33.75,1,36,6,6061.032450549491,2864.382065477075,0
2016-01-17,S08000015,2158,1961,197,29,6,0.0912882298424467,0.9087117701575532,1,Ayrshire & Arran,2,1,2016,1,1,0,0,0,0,0,0.1521739130434782,0.0596085409252669,0.0363951473136915,0.0910351201478743,2116.0,2308.0,0.0688273460570432,0.0533131220199575,0.0572188899314996,0.1521739130434782,0.1272073504041558,37.2,0,369,5.848238482384824,33.75,0,29,13,6062.908065934107,2809.5032742975473,0
2016-01-24,S08000015,2134,2019,115,11,3,0.0538894095595126,0.9461105904404874,1,Ayrshire & Arran,3,1,2016,1,1,0,0,0,0,0,0.0912882298424467,0.1521739130434782,0.0271317829457364,0.0251748251748251,2158.0,2064.0,0.082550616689232,0.053344760731779,0.0532958261426888,0.1521739130434782,0.0548930825287551,37.2,0,369,5.78319783197832,33.75,0,22,20,6064.783681318722,2841.9792321081172,0
2016-01-31,S08000015,2257,2083,174,30,0,0.0770934869295525,0.9229065130704476,1,Ayrshire & Arran,4,1,2016,1,1,0,0,0,0,0,0.0538894095595126,0.0912882298424467,0.0596085409252669,0.0100190839694656,2134.0,2248.0,0.0892400233426761,0.056934083779865,0.0450649910974437,0.1521739130434782,0.0267576266137762,37.2,0,369,6.116531165311653,33.75,0,15,27,6066.6592967033375,2687.9305700945224,0
2016-02-07,S08000015,2295,2149,146,29,5,0.0636165577342048,0.9363834422657952,1,Ayrshire & Arran,5,2,2016,1,1,0,0,0,0,0,0.0770934869295525,0.0538894095595126,0.1521739130434782,0.0249665626393223,2257.0,2116.0,0.0936112598437475,0.0653183841498758,0.0419747663492681,0.1521739130434782,0.0174849460042855,37.2,0,369,6.219512195121951,36.0,0,8,34,6068.534912087954,2644.241791759457,1
2016-02-14,S08000015,2273,1918,355,67,23,0.1561812582490101,0.8438187417509899,1,Ayrshire & Arran,6,2,2016,1,1,0,0,0,0,0,0.0636165577342048,0.0770934869295525,0.0912882298424467,0.0363951473136915,2295.0,2158.0,0.0714719210164291,0.0701496335367362,0.0162802491814676,0.0912882298424467,-0.0885573553092733,37.2,0,369,6.159891598915989,36.0,0,1,41,6070.410527472569,2670.660152869586,1
2016-02-21,S08000015,2320,2136,184,23,10,0.0793103448275862,0.9206896551724136,1,Ayrshire & Arran,7,2,2016,1,1,0,0,0,0,0,0.1561812582490101,0.0636165577342048,0.0538894095595126,0.0271317829457364,2273.0,2134.0,0.08769517811807,0.085122897403651,0.0466381423843306,0.1561812582490101,0.0648930284065634,37.2,0,369,6.287262872628726,36.0,1,33,2,6072.286142857185,2617.364716748787,1
2016-02-28,S08000015,2299,2049,250,45,1,0.1087429317094388,0.8912570682905611,1,Ayrshire & Arran,8,2,2016,1,1,0,0,0,0,0,0.0793103448275862,0.1561812582490101,0.0770934869295525,0.0596085409252669,2320.0,2257.0,0.0940504119350884,0.0916452176388822,0.0419970968408605,0.1561812582490101,0.0254209352680735,37.2,0,369,6.230352303523035,36.0,0,26,9,6074.1617582418,2642.0886290742933,1
2016-03-06,S08000015,2364,2261,103,12,0,0.043570219966159,0.9564297800338408,0,Ayrshire & Arran,9,3,2016,1,0,0,0,0,0,0,0.1087429317094388,0.0793103448275862,0.0636165577342048,0.1521739130434782,2299.0,2295.0,0.1019627731300599,0.0977870164869037,0.0406988100650759,0.1561812582490101,0.0316494447798863,37.2,0,369,6.40650406504065,38.0,0,19,16,6076.037373626416,2570.2357756456922,1
2016-03-13,S08000015,2514,2211,303,46,12,0.1205250596658711,0.8794749403341289,1,Ayrshire & Arran,10,3,2016,1,0,0,0,0,0,0,0.043570219966159,0.1087429317094388,0.1561812582490101,0.0912882298424467,2364.0,2273.0,0.0969511886880485,0.0842115548522388,0.0476374276435221,0.1561812582490101,-0.0200463377680457,37.2,0,369,6.813008130081301,38.0,0,12,23,6077.912989011032,2417.626487275669,1
2016-03-20,S08000015,2558,2368,190,40,14,0.0742767787333854,0.9257232212666144,1,Ayrshire & Arran,11,3,2016,1,0,0,0,0,0,0,0.1205250596658711,0.043570219966159,0.0793103448275862,0.0538894095595126,2514.0,2320.0,0.0880371390422637,0.0878661585801668,0.0343397663834416,0.1205250596658711,-0.035656198583139,37.2,0,369,6.932249322493225,38.0,0,5,30,6079.788604395648,2376.774278497126,1
2016-03-27,S08000015,2524,2315,209,18,0,0.0828050713153724,0.9171949286846276,1,Ayrshire & Arran,12,3,2016,1,0,0,0,0,0,0,0.0742767787333854,0.1205250596658711,0.1087429317094388,0.0770934869295525,2558.0,2299.0,0.0867787475187135,0.0904145797269009,0.0348545312571488,0.1205250596658711,-0.0050335660942008,37.2,0,369,6.840108401084011,38.0,1,1,1,6081.664219780263,2409.5341599763324,1
2016-04-03,S08000015,2556,2213,343,46,11,0.1341940532081377,0.8658059467918623,1,Ayrshire & Arran,13,4,2016,0,0,0,0,0,0,0,0.0828050713153724,0.0742767787333854,0.043570219966159,0.0636165577342048,2524.0,2364.0,0.0802942824201969,0.0911285277751284,0.0316737883873299,0.1205250596658711,-0.0259378603940663,37.2,0,369,6.926829268292683,30.75,1,1,1,6082.953648351692,2379.872319386421,1
2016-04-10,S08000015,2363,2178,185,48,20,0.0782903089293271,0.9217096910706728,1,Ayrshire & Arran,14,4,2016,0,0,0,0,0,0,0,0.1341940532081377,0.0828050713153724,0.1205250596658711,0.1561812582490101,2556.0,2514.0,0.1029502407306916,0.09995071470937,0.0289427328381008,0.1341940532081377,0.0906238332419787,37.2,0,369,6.403794037940379,30.75,1,1,1,6083.461494505539,2574.46529602435,1
2016-04-17,S08000015,2269,2155,114,15,6,0.0502423975319524,0.9497576024680476,1,Ayrshire & Arran,15,4,2016,0,0,0,0,0,0,0,0.0782903089293271,0.1341940532081377,0.0742767787333854,0.0793103448275862,2363.0,2558.0,0.0923915530465556,0.0902143460444097,0.0280852261625939,0.1341940532081377,-0.0422347507365439,37.2,0,369,6.149051490514905,30.75,1,60,6,6083.969340659386,2681.3439139089405,1
2016-04-24,S08000015,2403,2255,148,11,0,0.0615896795672076,0.9384103204327924,1,Ayrshire & Arran,16,4,2016,0,0,0,0,0,0,0,0.0502423975319524,0.0782903089293271,0.0828050713153724,0.1087429317094388,2269.0,2524.0,0.0863829577461974,0.0865808526324554,0.0349777699787323,0.1341940532081377,-0.0240343812014329,37.2,0,369,6.512195121951219,30.75,0,60,13,6084.477186813233,2532.0337856068386,1
2016-05-01,S08000015,2201,2099,102,7,0,0.0463425715583825,0.9536574284416176,0,Ayrshire & Arran,17,5,2016,0,0,0,0,0,0,0,0.0615896795672076,0.0502423975319524,0.1341940532081377,0.043570219966159,2403.0,2556.0,0.0810791098091562,0.0806866961146765,0.0372366993607435,0.1341940532081377,-0.0212153917481648,37.2,0,369,5.964769647696477,29.0,0,54,20,6084.98503296708,2764.6456306074874,0
2016-05-08,S08000015,2290,2191,99,3,0,0.0432314410480349,0.9567685589519652,0,Ayrshire & Arran,18,5,2016,0,0,0,0,0,0,0,0.0463425715583825,0.0615896795672076,0.0782903089293271,0.1205250596658711,2201.0,2363.0,0.0591162393967174,0.0810332400637045,0.0143256705276849,0.0782903089293271,-0.0878514816497552,37.2,0,369,6.205962059620596,29.0,0,47,27,6085.492879120927,2657.4204712318456,1
